Frequency [Hz],Re(Z) [Ohm],Im(Z) [Ohm]
1000019.3,32.358028,-5.3804893
791679.5,32.690014,-4.5821915
626757.69,32.934258,-4.002049
496191.31,33.126785,-3.5753379
392831.94,33.337128,-3.2896879
310996.03,33.549339,-3.1073267
246210.89,33.78223,-3.0472128
194921.83,34.010197,-3.0761585
154316.38,34.298145,-3.1910751
122167.95,34.608299,-3.4054
96718.727,34.978912,-3.6085911
76572.25,35.393253,-3.9657733
60615.219,35.821465,-4.3293514
47988.27,36.337273,-4.8048024
37998.035,36.92136,-5.2898006
30078.119,37.58305,-5.9225979
23808.59,38.369022,-6.5683775
18847.65,39.227604,-7.2748156
14921.873,40.118862,-8.0254049
11816.404,41.039696,-8.866868
9376.8232,42.028374,-9.8295031
7540.0542,42.978004,-10.828635
5965.6943,43.976547,-12.099757
4641.4805,44.994709,-13.738494
3673.8215,45.922928,-15.716206
2909.0715,46.790188,-18.24309
2302.7881,47.626488,-21.502121
1823.2465,48.551208,-25.671209
1443.6169,49.508835,-31.001976
1142.4421,50.67049,-37.754383
904.70905,52.092674,-46.271938
716.14233,53.877155,-56.886887
566.99585,56.292351,-70.092834
448.99432,59.436176,-86.415627
355.34128,63.645367,-106.62038
281.35031,69.369911,-131.45122
222.79024,77.253242,-161.85571
176.29787,87.735435,-198.90941
139.59779,101.93351,-243.7744
110.53085,121.53136,-297.32126
87.453423,147.34151,-361.98862
69.268494,182.1982,-437.78116
54.842007,228.80617,-526.42511
43.40276,289.82568,-629.14026
34.373028,369.54144,-744.51227
27.221216,474.33987,-870.21356
21.551697,605.95825,-1005.0786
17.05788,771.62476,-1138.1135
13.500898,966.24957,-1270.2118
10.68741,1187.7454,-1384.7397
8.4642315,1423.1613,-1478.8713
6.7002544,1661.0635,-1555.3005
5.3037996,1888.2791,-1612.4272
4.2002645,2103.2891,-1683.6373
3.324471,2288.6924,-1765.4778
2.6331317,2492.4719,-1899.1282
2.0844412,2680.2754,-2078.0652
1.6499459,2909.3376,-2310.3142
1.305349,3166.2048,-2613.2158
1.0334028,3483.7034,-2957.8733
0.8182376,3899.8604,-3365.8237
0.64780265,4379.7515,-3790.2019
0.51333827,4975.8218,-4209.8745
0.40639266,5602.2876,-4587.4927
0.32150224,6434.7754,-4954.9927
0.25444552,7312.9966,-5353.8936
0.20143613,8148.3008,-5583.4233
0.15949383,9140.2275,-5915.5146
0.12635216,10136.51,-6220.2056
0.10005087,11417.913,-6521.5034
