Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032385559,-0.005249157900000001
791679.5,0.032684799,-0.0045448179
626757.69,0.032916374,-0.0039508185
496191.31,0.03312661,-0.0035423682
392831.94,0.033312565,-0.0032307811000000003
310996.03,0.033560654,-0.0030808482000000002
246210.89,0.033748916999999996,-0.0030262482
194921.83,0.033976967000000004,-0.0030358717
154316.38,0.034261196,-0.0031372936
122167.95,0.034576447,-0.0032892966000000004
96718.727,0.034928619,-0.0035267549
76572.25,0.035341751000000005,-0.0038260889
60615.219,0.035786597999999996,-0.0042105374
47988.27,0.036304657,-0.004616713
37998.035,0.036906437,-0.0050766354
30078.119,0.037588535,-0.0056231030999999996
23808.59,0.038345921,-0.006163919
18847.65,0.039194817,-0.0067778845
14921.873,0.040112076,-0.0074183316000000004
11816.404,0.041031822,-0.008119401
9376.8232,0.042023108999999996,-0.0089088888
7540.0542,0.042964836,-0.0096316376
5965.6943,0.043957264,-0.010564608
4641.4805,0.044948551,-0.011797734
3673.8215,0.045782982,-0.013291672000000001
2909.0715,0.046634171,-0.015201029999999999
2302.7881,0.047355034000000004,-0.017709454000000003
1823.2465,0.048160469,-0.020911825000000002
1443.6169,0.048950729000000005,-0.025096045
1142.4421,0.049866165000000004,-0.030400408
904.70905,0.05099337,-0.037121792
716.14233,0.05243256,-0.045522556000000006
566.99585,0.054246204,-0.056002735000000005
448.99432,0.056605525999999996,-0.06893015300000001
355.34128,0.059723820000000004,-0.085135712
281.35031,0.06391735800000001,-0.10489226
222.79024,0.06958657800000001,-0.12932602
176.29787,0.077223328,-0.1592316
139.59779,0.087373688,-0.19542189
110.53085,0.10107104,-0.23940962
87.453423,0.11957113,-0.29259106
69.268494,0.1445663,-0.3558186
54.842007,0.17833974,-0.43079294
43.40276,0.22346301,-0.51949487
34.373028,0.28384222,-0.62037933
27.221216,0.36354871000000005,-0.73515118
21.551697,0.46674622,-0.86256122
17.05788,0.59953735,-0.99692371
13.500898,0.76634448,-1.131536
10.68741,0.96276617,-1.2553073
8.4642315,1.1836934000000001,-1.3650339
6.7002544,1.419147,-1.4517336
5.3037996,1.6508988999999998,-1.5179438
4.2002645,1.8761401000000002,-1.5807339
3.324471,2.0859307,-1.6476771000000001
2.6331317,2.2697158,-1.7379278999999999
2.0844412,2.4736082,-1.8624307
1.6499459,2.6509033,-2.0286772
1.305349,2.8868928,-2.2509038
1.0334028,3.1482568,-2.5256763
0.8182376,3.4488092999999997,-2.8683918
0.64780265,3.8055985999999997,-3.2665151000000003
0.51333827,4.2670059,-3.6487317
0.40639266,4.8121128,-4.0484634
0.32150224,5.4142671,-4.5391396
0.25444552,6.109979500000001,-5.0738335
0.20143613,7.011984900000001,-5.7156323
0.15949383,7.922415,-6.2116226
0.12635216,8.7968037,-6.498978
0.10005087,9.907748,-7.0501865
