Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032358883,-0.0054166861
791679.5,0.032624649,-0.0046286011
626757.69,0.032854027,-0.0040344834
496191.31,0.033078289,-0.003608809
392831.94,0.033279460999999996,-0.0033215175
310996.03,0.033477459,-0.003136512
246210.89,0.033711925999999996,-0.0031003373
194921.83,0.033957237,-0.0031373265
154316.38,0.034242054,-0.003253433
122167.95,0.034508125,-0.0034476545000000003
96718.727,0.034894684,-0.0037484886999999997
76572.25,0.035300522,-0.0041240745
60615.219,0.03574733,-0.0045332274
47988.27,0.036230145,-0.005075954000000001
37998.035,0.036865757000000006,-0.0056467791
30078.119,0.037534691,-0.0063113136
23808.59,0.038301739,-0.0070650373
18847.65,0.039225921999999996,-0.0079013333
14921.873,0.04013871,-0.0087877502
11816.404,0.041126682000000005,-0.009871112800000002
9376.8232,0.042204529000000005,-0.011085554000000001
7540.0542,0.043308041000000005,-0.012344563000000001
5965.6943,0.044484478,-0.013963042
4641.4805,0.04583297,-0.015993632
3673.8215,0.047130398000000004,-0.018397226
2909.0715,0.048532345,-0.021302866000000004
2302.7881,0.050016186,-0.024922394
1823.2465,0.051735764000000004,-0.029421818
1443.6169,0.053712093,-0.034899428999999996
1142.4421,0.055967205,-0.041593403
904.70905,0.058660759,-0.049701214
716.14233,0.06182933400000001,-0.059619414999999995
566.99585,0.065559631,-0.071660721
448.99432,0.069876053,-0.086182632
355.34128,0.07508397700000001,-0.10404922999999999
281.35031,0.081134216,-0.12575004
222.79024,0.088719696,-0.15246236999999999
176.29787,0.097981758,-0.18499306999999998
139.59779,0.1099874,-0.2252058
110.53085,0.1253588,-0.27408826
87.453423,0.145963,-0.33351317999999996
69.268494,0.17330696,-0.40503818
54.842007,0.20960693,-0.49144632000000005
43.40276,0.25961469,-0.59325995
34.373028,0.32613528,-0.71123175
27.221216,0.41668625,-0.8452589100000001
21.551697,0.53622247,-0.9926969
17.05788,0.68957196,-1.1456674
13.500898,0.87872681,-1.3019015999999999
10.68741,1.0995082,-1.441743
8.4642315,1.3429573000000001,-1.5643501000000002
6.7002544,1.6006072,-1.6847748999999999
5.3037996,1.8691471,-1.7794688
4.2002645,2.1249192,-1.8900557
3.324471,2.3934670000000002,-2.0026951
2.6331317,2.65926,-2.145165
2.0844412,2.9736616,-2.3117685999999997
1.6499459,3.3236433,-2.4912878000000003
1.305349,3.7454807000000003,-2.7054625999999997
1.0334028,4.2317598,-2.8527568000000003
0.8182376,4.771437,-2.999938
0.64780265,5.342183100000001,-3.0523552
0.51333827,5.9358672,-3.0360229
0.40639266,6.4887739,-2.9519153
0.32150224,7.0368003,-2.8157126
0.25444552,7.4926387000000005,-2.6346768000000003
0.20143613,7.995437,-2.4263231999999997
0.15949383,8.3751016,-2.2112249000000004
0.12635216,8.6816885,-1.9883104
0.10005087,9.0277197,-1.7535455
