Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.031247416000000004,-0.013935461
791679.5,0.032735134000000006,-0.011595865
626757.69,0.033733078,-0.009709205600000001
496191.31,0.034397002999999995,-0.0081900034
392831.94,0.03489843,-0.0070422063
310996.03,0.035284336000000006,-0.0062046003
246210.89,0.035673008000000006,-0.0056712494
194921.83,0.036069187,-0.0053118839
154316.38,0.036558472,-0.0051580515
122167.95,0.037048382,-0.0050836873000000005
96718.727,0.037657078,-0.0051123695
76572.25,0.038324406000000005,-0.0051761331999999995
60615.219,0.039079777,-0.005246632100000001
47988.27,0.039882862000000005,-0.0052820311
37998.035,0.040736217000000005,-0.0053195581
30078.119,0.041583279,-0.0052797523
23808.59,0.042436798000000005,-0.0051836824
18847.65,0.043213802,-0.0050383143
14921.873,0.043991787000000004,-0.004866395
11816.404,0.04459771,-0.0047053137
9376.8232,0.045187660000000004,-0.0045972495
7540.0542,0.045642367999999996,-0.0045292192
5965.6943,0.046084866,-0.0045265965000000005
4641.4805,0.046502525,-0.0046599798
3673.8215,0.046868114,-0.0049645224
2909.0715,0.047211166,-0.005379343500000001
2302.7881,0.047546261,-0.0060005503
1823.2465,0.047934757,-0.0068681459
1443.6169,0.048327972000000004,-0.007970915299999999
1142.4421,0.048770977,-0.0093818398
904.70905,0.049307323,-0.011157913
716.14233,0.049923274999999996,-0.013320759000000001
566.99585,0.050650036,-0.016030676
448.99432,0.051482479,-0.019327154
355.34128,0.052554562,-0.023400137
281.35031,0.053850861,-0.028307356
222.79024,0.055369663000000006,-0.034315121
176.29787,0.057241230000000004,-0.041519058000000005
139.59779,0.059562065,-0.050328537
110.53085,0.062418751,-0.060996181000000003
87.453423,0.065887917,-0.073979668
69.268494,0.070221771,-0.089689934
54.842007,0.075579422,-0.10873623
43.40276,0.08242543000000001,-0.13210558
34.373028,0.09092987100000001,-0.16015724
27.221216,0.10200594,-0.19443496999999998
21.551697,0.11635403,-0.23612491
17.05788,0.13525261,-0.28645197
13.500898,0.16045993000000003,-0.34640146
10.68741,0.19382884000000003,-0.41735744999999996
8.4642315,0.23838103000000002,-0.49955112
6.7002544,0.29652084,-0.59360864
5.3037996,0.37265396,-0.6988000500000001
4.2002645,0.46784732,-0.8105245999999999
3.324471,0.5841911,-0.92101263
2.6331317,0.71509583,-1.041855
2.0844412,0.85839172,-1.1582096
1.6499459,1.0037782,-1.2732878
1.305349,1.1567222,-1.4151349
1.0334028,1.3104137,-1.577655
0.8182376,1.4713712,-1.777915
0.64780265,1.6403711,-2.0255718
0.51333827,1.8455278000000002,-2.3310115000000002
0.40639266,2.0842656,-2.7068965
0.32150224,2.3694641,-3.1681797
0.25444552,2.7077561,-3.6850728
0.20143613,3.1466125000000003,-4.285599100000001
0.15949383,3.7179001,-4.976127900000001
0.12635216,4.3898389,-5.6591523
0.10005087,5.2278617999999994,-6.247099100000001
