Frequency [Hz],Re(Z) [Ohm],Im(Z) [Ohm]
1000019.3,31.24387,-13.854524
791679.5,32.649029,-11.56225
626757.69,33.619423,-9.6748562
496191.31,34.315533,-8.1793108
392831.94,34.798828,-6.9898314
310996.03,35.185532,-6.1445098
246210.89,35.555054,-5.5636282
194921.83,35.947632,-5.2054935
154316.38,36.384773,-5.0353746
122167.95,36.860977,-4.9740157
96718.727,37.441364,-5.0047274
76572.25,38.083374,-5.0672464
60615.219,38.815834,-5.1692319
47988.27,39.588638,-5.2583404
37998.035,40.428947,-5.2871723
30078.119,41.253292,-5.2945752
23808.59,42.118134,-5.2553043
18847.65,42.909527,-5.1541739
14921.873,43.644104,-5.0908523
11816.404,44.316833,-4.96245
9376.8232,44.90686,-4.8840189
7540.0542,45.447517,-4.8673377
5965.6943,45.950478,-4.9580035
4641.4805,46.411396,-5.1754432
3673.8215,46.826786,-5.5450945
2909.0715,47.212433,-6.0416465
2302.7881,47.600029,-6.8017697
1823.2465,48.029289,-7.793983
1443.6169,48.513699,-9.0605631
1142.4421,49.019222,-10.698596
904.70905,49.634827,-12.703708
716.14233,50.402058,-15.218183
566.99585,51.291309,-18.253403
448.99432,52.39521,-21.966417
355.34128,53.665646,-26.465296
281.35031,55.231617,-31.958441
222.79024,57.162487,-38.544342
176.29787,59.519474,-46.485111
139.59779,62.233177,-55.97081
110.53085,65.56237,-67.587624
87.453423,69.548882,-81.578072
69.268494,74.393097,-98.467583
54.842007,80.581573,-119.03126
43.40276,88.019569,-144.16425
34.373028,97.594856,-174.46361
27.221216,109.64397,-211.67819
21.551697,125.25571,-256.72409
17.05788,145.88947,-311.03229
13.500898,173.36208,-376.17404
10.68741,209.68233,-453.0809
8.4642315,258.87836,-542.44611
6.7002544,323.95834,-643.00812
5.3037996,407.65036,-756.4986
4.2002645,512.33112,-874.87268
3.324471,638.55676,-998.87457
2.6331317,779.88934,-1124.2747
2.0844412,937.48273,-1253.4543
1.6499459,1089.6702,-1372.0771
1.305349,1252.7303,-1518.1799
1.0334028,1410.8665,-1695.5673
0.8182376,1570.6721,-1895.9396
0.64780265,1749.8573,-2172.7339
0.51333827,1969.2229,-2500.8542
0.40639266,2220.6296,-2911.4824
0.32150224,2523.1968,-3411.0581
0.25444552,2898.2104,-3988.6616
0.20143613,3484.9626,-4556.5576
0.15949383,4120.0034,-5231.7368
0.12635216,4844.2715,-6024.2578
0.10005087,5726.5386,-6828.394
