Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032991138,-0.0054263086
791679.5,0.033282490000000005,-0.0046632652
626757.69,0.033513264,-0.0041060858
496191.31,0.033748329,-0.0036693973999999997
392831.94,0.033983780000000005,-0.0033665607
310996.03,0.034173935,-0.0031987731
246210.89,0.034427715,-0.0031723561
194921.83,0.034692711,-0.0031778445
154316.38,0.035010536,-0.0033243246000000002
122167.95,0.03536446,-0.0034939997
96718.727,0.035778866,-0.0037491407
76572.25,0.036254353,-0.0040205798
60615.219,0.036790245,-0.0043431425
47988.27,0.037424583,-0.004727808
37998.035,0.03810738,-0.005072117300000001
30078.119,0.038850128,-0.0054661136
23808.59,0.039689449,-0.005835298500000001
18847.65,0.040601959,-0.006195638200000001
14921.873,0.041496994,-0.0065137768
11816.404,0.042417183000000004,-0.0068684440000000005
9376.8232,0.043313248000000006,-0.007217452
7540.0542,0.044106663,-0.0075791240000000005
5965.6943,0.044949741,-0.007963879600000001
4641.4805,0.045768692,-0.0086317215
3673.8215,0.046413708,-0.009466898900000001
2909.0715,0.047042664000000005,-0.010558083
2302.7881,0.047632515,-0.012110183
1823.2465,0.048261166,-0.014078488
1443.6169,0.048897354000000004,-0.016665976000000002
1142.4421,0.04959264000000001,-0.019959465000000003
904.70905,0.050447651,-0.024076735
716.14233,0.051383167,-0.029301203
566.99585,0.052644402,-0.035765232
448.99432,0.054193806000000004,-0.04372715
355.34128,0.056124889000000004,-0.053623745
281.35031,0.058577988,-0.065789536
222.79024,0.061811138,-0.080655083
176.29787,0.066008476,-0.098981117
139.59779,0.071299774,-0.12136702
110.53085,0.07846309700000001,-0.14875101000000002
87.453423,0.087758232,-0.18232434
69.268494,0.10003588000000001,-0.22284232
54.842007,0.11652317,-0.27190897
43.40276,0.13887843000000002,-0.33140195
34.373028,0.16906895,-0.40170074
27.221216,0.20950237000000002,-0.48474466
21.551697,0.26404663,-0.58158807
17.05788,0.33679807,-0.6933791499999999
13.500898,0.43380051,-0.8143443600000001
10.68741,0.55786121,-0.94355988
8.4642315,0.71264838,-1.0688142
6.7002544,0.89274933,-1.193345
5.3037996,1.0926877,-1.2833859
4.2002645,1.3052306,-1.3944884
3.324471,1.5106362,-1.4720630000000001
2.6331317,1.7082959000000002,-1.553196
2.0844412,1.8866976,-1.6519469999999998
1.6499459,2.0530767,-1.7774817
1.305349,2.2228135000000004,-1.9662952
1.0334028,2.4048374,-2.2038008000000002
0.8182376,2.6067651,-2.5183003
0.64780265,2.8401968,-2.9081296
0.51333827,3.1619607000000003,-3.3943049000000003
0.40639266,3.5508418,-3.9715916000000004
0.32150224,4.0594739,-4.6321299
0.25444552,4.713801800000001,-5.3506367
0.20143613,5.5463252,-6.1623691
0.15949383,6.5384516999999995,-6.9744102
0.12635216,7.695086900000001,-7.8146763
0.10005087,8.9355957,-8.2812471
