Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.030415024,-0.013596189000000002
791679.5,0.031897804,-0.011342422
626757.69,0.032868408,-0.0094909277
496191.31,0.033566029000000004,-0.0079788361
392831.94,0.03405283,-0.0067810659
310996.03,0.03442688,-0.0059129796
246210.89,0.034735134,-0.005289466400000001
194921.83,0.035063297,-0.0049210758
154316.38,0.035432095,-0.004712183
122167.95,0.035828663,-0.0046343355
96718.727,0.03630694600000001,-0.0046653323
76572.25,0.036833916,-0.004757890200000001
60615.219,0.037406849,-0.0049417133
47988.27,0.038091949,-0.0051534958
37998.035,0.038830654000000006,-0.0053540139
30078.119,0.039618298,-0.0056009517000000005
23808.59,0.040484467,-0.0057679362000000005
18847.65,0.041374241,-0.0059534063
14921.873,0.042226273,-0.006136829900000001
11816.404,0.043110183999999996,-0.0062449689
9376.8232,0.043906822,-0.0063763870999999995
7540.0542,0.044613224,-0.0065999722
5965.6943,0.045312748,-0.006862943600000001
4641.4805,0.046013138,-0.0073441315
3673.8215,0.046573101,-0.007976111900000001
2909.0715,0.04710128,-0.0088549252
2302.7881,0.047632416,-0.010048404
1823.2465,0.048183083,-0.011706728999999999
1443.6169,0.048781261,-0.013731787
1142.4421,0.049450943000000004,-0.016352989000000002
904.70905,0.050208328,-0.019658743000000003
716.14233,0.051138289999999996,-0.023765558
566.99585,0.052217163,-0.028805819
448.99432,0.053629066,-0.035030045
355.34128,0.055330146999999996,-0.04265980900000001
281.35031,0.057444843,-0.051978092
222.79024,0.060061852000000006,-0.063370869
176.29787,0.063336288,-0.077314545
139.59779,0.067510834,-0.094268509
110.53085,0.072731117,-0.11498914
87.453423,0.079446365,-0.14039484
69.268494,0.088193665,-0.17118944
54.842007,0.099530792,-0.20851233
43.40276,0.11452204,-0.254063
34.373028,0.13419365,-0.30900595
27.221216,0.16049956,-0.37471249
21.551697,0.19584595,-0.45367548
17.05788,0.24393861000000003,-0.54552234
13.500898,0.30812418,-0.65162012
10.68741,0.39415652,-0.77132007
8.4642315,0.5050293,-0.89916809
6.7002544,0.6442981,-1.0287819999999999
5.3037996,0.81077283,-1.1619816
4.2002645,0.99763239,-1.2711633
3.324471,1.1973733,-1.376608
2.6331317,1.3939554,-1.4729592
2.0844412,1.5811217,-1.5755486
1.6499459,1.7629611,-1.7006559
1.305349,1.9329729,-1.8662374
1.0334028,2.1109218999999997,-2.0684839000000004
0.8182376,2.2907523999999997,-2.3472395
0.64780265,2.4911313,-2.6741353
0.51333827,2.7517727,-3.1158020000000004
0.40639266,3.0917773000000004,-3.6368323
0.32150224,3.5776677,-4.1812583000000005
0.25444552,4.166781299999999,-4.7931631
0.20143613,4.8584971,-5.5598447
0.15949383,5.6567056000000004,-6.422752000000001
0.12635216,6.6888857,-7.3730801
0.10005087,7.9056885,-8.1980723
