Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.030823572,-0.01364864
791679.5,0.032143622999999996,-0.011416581
626757.69,0.033144474,-0.009565793
496191.31,0.033832023999999995,-0.008051963799999999
392831.94,0.034318817,-0.006846446000000001
310996.03,0.034691532000000004,-0.0060082111
246210.89,0.035032013,-0.0053816924000000006
194921.83,0.035383083,-0.0050251746
154316.38,0.035774204,-0.0048186975
122167.95,0.036197845,-0.0047485766
96718.727,0.036701824,-0.0047735319
76572.25,0.037279667,-0.0048847413
60615.219,0.037928542999999995,-0.0050403728
47988.27,0.03865229,-0.0051963124
37998.035,0.039404968,-0.005351699400000001
30078.119,0.040270084,-0.0055083237000000005
23808.59,0.041110149,-0.005561759
18847.65,0.041944553,-0.005646977900000001
14921.873,0.042822987,-0.0056504073
11816.404,0.043579945,-0.0056437306
9376.8232,0.04432039300000001,-0.005689039700000001
7540.0542,0.044953117,-0.0057741427
5965.6943,0.045555553000000006,-0.0059411926
4641.4805,0.046148296000000005,-0.0062253847
3673.8215,0.046689884,-0.006660530600000001
2909.0715,0.047132717,-0.0073531404
2302.7881,0.047621666,-0.0082673521
1823.2465,0.04811277,-0.0095105677
1443.6169,0.048681885,-0.011077054000000001
1142.4421,0.049314224000000004,-0.013123113
904.70905,0.050033054,-0.01563996
716.14233,0.050899467000000004,-0.018792908
566.99585,0.051962662,-0.02260256
448.99432,0.053225777,-0.027238546
355.34128,0.054768848,-0.032937195
281.35031,0.056638264,-0.039784985
222.79024,0.058912067,-0.048070698
176.29787,0.061658382000000005,-0.058148483
139.59779,0.06494349699999999,-0.070279961
110.53085,0.06901823400000001,-0.085067589
87.453423,0.074049026,-0.10308117
69.268494,0.080267586,-0.12480392000000001
54.842007,0.08805826600000001,-0.15157181
43.40276,0.097884186,-0.18375887000000002
34.373028,0.1107394,-0.22293648
27.221216,0.12718716000000002,-0.27053915
21.551697,0.14925253000000002,-0.32777249
17.05788,0.17857254,-0.39655438
13.500898,0.21791994,-0.47755658
10.68741,0.27035992,-0.57189392
8.4642315,0.34067569,-0.6781535000000001
6.7002544,0.43205560000000004,-0.7950301500000001
5.3037996,0.54669403,-0.91878088
4.2002645,0.6860449200000001,-1.0439136000000002
3.324471,0.8432875400000001,-1.168276
2.6331317,1.0141866,-1.2827123999999999
2.0844412,1.1874978,-1.4050054
1.6499459,1.3626045999999998,-1.5330454
1.305349,1.5293274,-1.6867295
1.0334028,1.7030914000000001,-1.880425
0.8182376,1.8746858,-2.1208467
0.64780265,2.0751289,-2.4184539
0.51333827,2.3104823999999997,-2.8126448
0.40639266,2.5987217,-3.2751587
0.32150224,2.9374719000000002,-3.8200107
0.25444552,3.3832207,-4.480103
0.20143613,3.9870505,-5.1997788
0.15949383,4.7356211,-5.9967084999999996
0.12635216,5.6431133,-6.8349551
0.10005087,6.7300601,-7.5998574
