Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032367725,-0.0054340234
791679.5,0.032636429,-0.0045943527
626757.69,0.032884399,-0.004038537500000001
496191.31,0.033091614,-0.0035691931
392831.94,0.033252045,-0.0033157554000000002
310996.03,0.033482693,-0.0031663144
246210.89,0.033695515,-0.0030748153
194921.83,0.033962452,-0.0031195893
154316.38,0.034229064999999996,-0.0032470484000000003
122167.95,0.034528812000000006,-0.0034469397000000002
96718.727,0.034907188,-0.0036991758
76572.25,0.035288658,-0.0040518818000000005
60615.219,0.035743393,-0.0044462972
47988.27,0.036268234,-0.0049359226
37998.035,0.036878651,-0.0055283375
30078.119,0.037548504,-0.006178319
23808.59,0.038313625000000004,-0.0068865943
18847.65,0.039189498999999996,-0.007646207300000001
14921.873,0.040107853,-0.0084956894
11816.404,0.041076855,-0.009445775
9376.8232,0.042092178,-0.010613217000000001
7540.0542,0.043085777,-0.011753323999999999
5965.6943,0.044143974,-0.013224270000000002
4641.4805,0.045273643,-0.015156282
3673.8215,0.046351261000000005,-0.017441679
2909.0715,0.047375893,-0.020291822
2302.7881,0.048423756,-0.023909475
1823.2465,0.049527153,-0.028544445
1443.6169,0.050808067000000005,-0.034328331
1142.4421,0.052306652,-0.041628883000000005
904.70905,0.05411433,-0.050705025
716.14233,0.056346085000000004,-0.062033737000000005
566.99585,0.059239185,-0.076131432
448.99432,0.06277458200000001,-0.09351956900000001
355.34128,0.06750892600000001,-0.11498746
281.35031,0.07363001300000001,-0.14122768
222.79024,0.081972244,-0.17369691
176.29787,0.09306897700000001,-0.21314536
139.59779,0.10806859,-0.26093216
110.53085,0.12831374,-0.31873007000000003
87.453423,0.15623914,-0.38817557
69.268494,0.19368748,-0.47022015
54.842007,0.24480779000000003,-0.5653117099999999
43.40276,0.31224933,-0.6755379
34.373028,0.40099564,-0.7986475799999999
27.221216,0.51609802,-0.9311194500000001
21.551697,0.66087659,-1.0723884000000001
17.05788,0.84133649,-1.2026041
13.500898,1.0466094000000001,-1.3398463999999999
10.68741,1.2734893999999999,-1.4481238
8.4642315,1.5159426,-1.552051
6.7002544,1.7561378,-1.6310564
5.3037996,1.9895479,-1.7133097000000002
4.2002645,2.2140803,-1.811264
3.324471,2.431073,-1.9267596000000002
2.6331317,2.664969,-2.0765742
2.0844412,2.9108494,-2.258939
1.6499459,3.2126655,-2.5030134
1.305349,3.5530469,-2.7530342
1.0334028,3.9990227000000003,-3.0565566
0.8182376,4.479387200000001,-3.3423496
0.64780265,5.0447104000000005,-3.6108787
0.51333827,5.6667378,-3.8753918
0.40639266,6.3826665,-4.1070205
0.32150224,7.1642202,-4.2952002
0.25444552,7.9883159,-4.4561528
0.20143613,8.867726600000001,-4.5077964
0.15949383,9.598803700000001,-4.3772852
0.12635216,10.142055000000001,-4.1445303000000004
0.10005087,10.92872,-4.0545
