Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032364731,-0.0052813109999999995
791679.5,0.032675713,-0.004577208500000001
626757.69,0.032898029,-0.0039880895999999996
496191.31,0.033122726,-0.0035479138
392831.94,0.033286552000000004,-0.0032687442
310996.03,0.03355748,-0.003071161
246210.89,0.033721333,-0.0030233049
194921.83,0.033967872999999996,-0.0030531316
154316.38,0.034251919,-0.0031449083999999998
122167.95,0.034566677,-0.0033529632
96718.727,0.034925404,-0.0035734885
76572.25,0.035313094999999996,-0.0038554375
60615.219,0.035783722,-0.004236444
47988.27,0.036294136000000005,-0.0046973991
37998.035,0.03688158,-0.0051632409
30078.119,0.037574314000000004,-0.0057174683
23808.59,0.038328423,-0.006305573
18847.65,0.039162726999999994,-0.0069599147
14921.873,0.040125095,-0.0076222591
11816.404,0.041021877000000005,-0.008401652300000001
9376.8232,0.042001224999999996,-0.0092483044
7540.0542,0.042919162999999996,-0.010073796
5965.6943,0.043913272999999996,-0.011134991
4641.4805,0.044926311,-0.012535204999999999
3673.8215,0.045801617,-0.014171096000000001
2909.0715,0.046607559,-0.016335918
2302.7881,0.047451481000000004,-0.019108559
1823.2465,0.048243607,-0.022723013000000004
1443.6169,0.049100254,-0.027290375000000002
1142.4421,0.050130585000000005,-0.033188663
904.70905,0.051308556000000005,-0.040526485
716.14233,0.052856701,-0.049816875000000004
566.99585,0.054903309000000004,-0.06128183
448.99432,0.057559261,-0.075627663
355.34128,0.061111977000000005,-0.09326806600000001
281.35031,0.06594820400000001,-0.11509104
222.79024,0.072316643,-0.14164813
176.29787,0.081025528,-0.17433391
139.59779,0.09271962,-0.21394786
110.53085,0.10827637,-0.26168018000000004
87.453423,0.12961646,-0.3191889
69.268494,0.15794473,-0.38777261
54.842007,0.19621236,-0.4679921
43.40276,0.24711841,-0.5621522200000001
34.373028,0.31507266,-0.66954523
27.221216,0.40249945000000004,-0.7920270400000001
21.551697,0.51926855,-0.92110901
17.05788,0.6652010500000001,-1.057666
13.500898,0.84288763,-1.1945940000000002
10.68741,1.0520308,-1.3158042
8.4642315,1.2818762,-1.4193748000000002
6.7002544,1.5238312,-1.5004185
5.3037996,1.7530033,-1.5578375000000002
4.2002645,1.9763646000000001,-1.6245905
3.324471,2.1787056,-1.6951711
2.6331317,2.3650048999999997,-1.7926729000000001
2.0844412,2.5631199000000002,-1.9331416
1.6499459,2.7557791000000003,-2.120429
1.305349,3.0062603,-2.3718132
1.0334028,3.2605789,-2.6755945000000003
0.8182376,3.6040347,-3.021929
0.64780265,3.9981855,-3.4376301
0.51333827,4.5052139,-3.8617708
0.40639266,5.0874775,-4.3279097
0.32150224,5.7640272999999995,-4.8328872
0.25444552,6.5518892,-5.3416299
0.20143613,7.417320800000001,-5.7680503
0.15949383,8.438645500000002,-6.2731611
0.12635216,9.5436191,-6.7123179
0.10005087,10.53354,-6.933395000000001
