Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032478523,-0.0053177948
791679.5,0.032689697000000004,-0.004593534
626757.69,0.032911537000000005,-0.0039958119
496191.31,0.033139194000000004,-0.0035693903
392831.94,0.033335724,-0.0032672336000000002
310996.03,0.03352869,-0.0030883110000000003
246210.89,0.033758984,-0.0030287848
194921.83,0.033980297,-0.0030472777
154316.38,0.034260531999999996,-0.003176795
122167.95,0.034595505000000006,-0.0033644214
96718.727,0.034932457,-0.0036029267
76572.25,0.03534798,-0.0039172902
60615.219,0.035791331999999995,-0.0042981486
47988.27,0.03631485,-0.0047435827
37998.035,0.036904633,-0.0052742362
30078.119,0.037561462,-0.0058329263
23808.59,0.038359951,-0.0064514213
18847.65,0.039184002,-0.0070920286
14921.873,0.040137287,-0.0078306327
11816.404,0.041047832,-0.008643526100000002
9376.8232,0.04199041,-0.009545020100000001
7540.0542,0.042935085000000005,-0.010451386
5965.6943,0.043930302,-0.011629279000000001
4641.4805,0.04496978,-0.013167346
3673.8215,0.04584484900000001,-0.014959926
2909.0715,0.046691654,-0.017342037
2302.7881,0.047495117,-0.020372011000000002
1823.2465,0.048375507,-0.024275347
1443.6169,0.049278858,-0.029300663
1142.4421,0.050350502,-0.03562606
904.70905,0.051700283,-0.043606834
716.14233,0.053401882000000005,-0.053617901
566.99585,0.055568707,-0.066044281
448.99432,0.058476105,-0.08142534600000001
355.34128,0.062490482,-0.10058873
281.35031,0.067745178,-0.12405924
222.79024,0.074945915,-0.15272968
176.29787,0.084547844,-0.18765793
139.59779,0.097795097,-0.2299339
110.53085,0.11552669,-0.28095663000000004
87.453423,0.13930852999999999,-0.34211423
69.268494,0.17110097999999999,-0.41439957
54.842007,0.21447333000000002,-0.49883612
43.40276,0.27299176,-0.59469196
34.373028,0.34949221999999996,-0.70292688
27.221216,0.44804614,-0.82250592
21.551697,0.57152905,-0.95284747
17.05788,0.72624957,-1.0841691
13.500898,0.91293207,-1.2152048
10.68741,1.1269364000000002,-1.3260941000000002
8.4642315,1.3551375,-1.4229342999999999
6.7002544,1.5847456,-1.4855107
5.3037996,1.8070702,-1.5462532000000002
4.2002645,2.0179724,-1.6151427
3.324471,2.1946731,-1.6883770999999999
2.6331317,2.3545435,-1.7796022
2.0844412,2.544698,-1.94905
1.6499459,2.7849976,-2.1886289000000003
1.305349,3.0570059,-2.4641191
1.0334028,3.375824,-2.8069067
0.8182376,3.7342712000000002,-3.1833865
0.64780265,4.1597422,-3.6204810000000003
0.51333827,4.6961348,-4.0677683
0.40639266,5.3595669,-4.5447764
0.32150224,6.0536245,-5.0437915
0.25444552,6.9813374,-5.5684346
0.20143613,7.9073125,-5.9911299
0.15949383,8.9172402,-6.3799185
0.12635216,10.034073000000001,-6.6690806
0.10005087,11.191888,-6.9281562999999995
