Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.033435432,-0.014602078000000001
791679.5,0.03505304,-0.012381739
626757.69,0.036125813,-0.010467122
496191.31,0.036892941,-0.0089593487
392831.94,0.037483864,-0.0078289037
310996.03,0.038004227,-0.0070219221
246210.89,0.038554462000000005,-0.0064739661
194921.83,0.039173786,-0.0061017947000000005
154316.38,0.039841591,-0.005853102200000001
122167.95,0.040574558000000004,-0.0056657624000000005
96718.727,0.041338520000000004,-0.0054203820000000005
76572.25,0.042125969,-0.0052145791
60615.219,0.042904331,-0.0049231343000000006
47988.27,0.043607964000000006,-0.004615242
37998.035,0.044299274,-0.0042786492999999995
30078.119,0.044839287,-0.003953299
23808.59,0.045292758999999995,-0.0036518582999999997
18847.65,0.045671669000000005,-0.0033856153
14921.873,0.046023539999999995,-0.0032167463
11816.404,0.046302643000000004,-0.0031037419000000004
9376.8232,0.046603931,-0.00309376
7540.0542,0.046786861000000006,-0.0031280162
5965.6943,0.046992847,-0.0032948883000000003
4641.4805,0.047244747,-0.0035814092
3673.8215,0.047476604000000006,-0.0039841251
2909.0715,0.047722442999999996,-0.0045086098000000005
2302.7881,0.047992699,-0.0052361531
1823.2465,0.048286991,-0.006137033500000001
1443.6169,0.048596512,-0.0072322526
1142.4421,0.048997849,-0.008680541
904.70905,0.0494585,-0.010386487000000002
716.14233,0.049979916000000006,-0.012559381
566.99585,0.050609322,-0.015202944000000001
448.99432,0.05138399900000001,-0.018445389
355.34128,0.052279751,-0.022411194
281.35031,0.053439709,-0.027290724000000002
222.79024,0.0547925,-0.033225765000000004
176.29787,0.056555672,-0.040502476
139.59779,0.058614895,-0.049343806999999996
110.53085,0.061256371000000004,-0.060123672
87.453423,0.064577789,-0.073282951
69.268494,0.068810493,-0.089311554
54.842007,0.074216454,-0.10877659
43.40276,0.081233719,-0.13264415
34.373028,0.090144165,-0.1612175
27.221216,0.10194871999999999,-0.19613586000000002
21.551697,0.11772985,-0.23791876
17.05788,0.13829712000000002,-0.28835953000000003
13.500898,0.16611255,-0.34762302
10.68741,0.20323839000000002,-0.41687802
8.4642315,0.25142939999999997,-0.49638788
6.7002544,0.3147897,-0.58543842
5.3037996,0.39507208000000005,-0.6817405400000001
4.2002645,0.49520047,-0.7816043100000001
3.324471,0.61275348,-0.8829348800000001
2.6331317,0.7439434199999999,-0.98108453
2.0844412,0.88455908,-1.0790508
1.6499459,1.0296398,-1.1792987000000001
1.305349,1.1701465,-1.2883795
1.0334028,1.3129403,-1.4175186000000002
0.8182376,1.4134795,-1.5490401999999999
0.64780265,1.5483568,-1.7442677000000002
0.51333827,1.7471232,-2.0187167
0.40639266,1.92512,-2.3319543
0.32150224,2.1636528,-2.7049519
0.25444552,2.5093625000000004,-3.1514514
0.20143613,2.8961763,-3.6569241000000003
0.15949383,3.3998755000000003,-4.2551816
0.12635216,3.9650574,-4.9016982
0.10005087,4.7070049,-5.606449700000001
