Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032444504000000006,-0.0053964914999999995
791679.5,0.032709286,-0.0045937777
626757.69,0.032934658,-0.0040046153
496191.31,0.033154117999999996,-0.0035736804000000002
392831.94,0.033366215,-0.0032869899
310996.03,0.033583244,-0.0031270642
246210.89,0.033778168000000004,-0.0030491078
194921.83,0.034036369000000004,-0.0030731087000000004
154316.38,0.03431686,-0.0032109745
122167.95,0.034623694999999996,-0.0034002526
96718.727,0.034976341,-0.0036652381
76572.25,0.035401085000000006,-0.0039792006
60615.219,0.035818321,-0.0043987665
47988.27,0.036362347,-0.0048474536
37998.035,0.036938263,-0.005380393
30078.119,0.037635323,-0.005995998400000001
23808.59,0.038397766,-0.0066545796
18847.65,0.039206287000000006,-0.0073942800000000005
14921.873,0.040116627,-0.0081643286
11816.404,0.041062046000000005,-0.0090610199
9376.8232,0.04207933,-0.010104018
7540.0542,0.043022549,-0.011148672
5965.6943,0.04404974700000001,-0.012492621
4641.4805,0.04506046700000001,-0.014261412999999999
3673.8215,0.046011841,-0.016384005
2909.0715,0.046931431,-0.019034503999999997
2302.7881,0.047854744,-0.022459974
1823.2465,0.04878537,-0.026868763
1443.6169,0.049849635999999996,-0.03244519
1142.4421,0.051099747,-0.039519356000000005
904.70905,0.05257478,-0.048318466000000004
716.14233,0.054542595,-0.05947662
566.99585,0.057005783000000004,-0.07327159899999999
448.99432,0.06033905,-0.090270416
355.34128,0.064801712,-0.11138049
281.35031,0.07067937499999999,-0.13730734
222.79024,0.07865622700000001,-0.16905513
176.29787,0.089768211,-0.20779941
139.59779,0.1046822,-0.2545256
110.53085,0.12506776,-0.31078015
87.453423,0.1522812,-0.37823743000000004
69.268494,0.18879901000000002,-0.45753369
54.842007,0.23793077,-0.5496382400000001
43.40276,0.30305316,-0.6554436
34.373028,0.38714264,-0.7757764899999999
27.221216,0.49742511,-0.9045333900000001
21.551697,0.63548322,-1.0439326000000002
17.05788,0.80789856,-1.1781416
13.500898,1.0084762,-1.3118466000000002
10.68741,1.2349117,-1.4142108
8.4642315,1.4732782,-1.5166689
6.7002544,1.7119177,-1.5923324
5.3037996,1.9405522000000002,-1.658762
4.2002645,2.1561067,-1.7356631
3.324471,2.3581365,-1.8343726999999999
2.6331317,2.5648589000000004,-1.9780916
2.0844412,2.7685078,-2.1668344999999998
1.6499459,3.0315425,-2.4054902
1.305349,3.3294561,-2.6892747
1.0334028,3.6802029000000003,-3.0038717999999998
0.8182376,4.1162007,-3.3700952
0.64780265,4.6290122,-3.7457089999999997
0.51333827,5.2333726,-4.0991304
0.40639266,5.9317886,-4.479772
0.32150224,6.6725454,-4.8639932
0.25444552,7.5469272,-5.222025899999999
0.20143613,8.5261934,-5.5647421999999995
0.15949383,9.577665000000001,-5.816127000000001
0.12635216,10.663443,-6.0363071
0.10005087,11.734988,-6.0964731
