Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032291919999999995,-0.0054432898
791679.5,0.032599033,-0.0046056518999999995
626757.69,0.032827435,-0.004015390400000001
496191.31,0.033055935,-0.0035845630000000002
392831.94,0.033260483,-0.0032845504000000004
310996.03,0.033440105000000005,-0.0031302905
246210.89,0.033673805,-0.003085288
194921.83,0.033904556,-0.0031310306
154316.38,0.034195923,-0.0032392614000000004
122167.95,0.034526722,-0.0034486983
96718.727,0.034865589,-0.0037108307
76572.25,0.035288078,-0.0040466061
60615.219,0.03572962600000001,-0.0044998331
47988.27,0.036247242,-0.0050166321
37998.035,0.036831154,-0.005551907500000001
30078.119,0.037545872,-0.006254696400000001
23808.59,0.03828532,-0.0069753222
18847.65,0.039185634999999996,-0.0077696705
14921.873,0.040085941,-0.0086538467
11816.404,0.041111942,-0.009639286
9376.8232,0.042167622,-0.010811193
7540.0542,0.043168835,-0.012005041000000001
5965.6943,0.04427515,-0.013530274
4641.4805,0.04546257,-0.015503157
3673.8215,0.046559582,-0.017809401000000002
2909.0715,0.047720924,-0.020706484
2302.7881,0.04887262,-0.024377802
1823.2465,0.050152050000000004,-0.028972131999999998
1443.6169,0.051592419,-0.03477169
1142.4421,0.053287906999999995,-0.041993499999999996
904.70905,0.055253868,-0.05094735
716.14233,0.05775663,-0.062037453
566.99585,0.060679008000000006,-0.075757179
448.99432,0.06449706999999999,-0.092601128
355.34128,0.06927475,-0.11351301
281.35031,0.075299889,-0.13887956
222.79024,0.083386932,-0.17041522
176.29787,0.094001877,-0.20866821
139.59779,0.10786172000000001,-0.25535757000000003
110.53085,0.12688282,-0.31195798
87.453423,0.15284781,-0.38031503
69.268494,0.18763269,-0.46137601
54.842007,0.23471733,-0.5573734100000001
43.40276,0.29847012,-0.66835358
34.373028,0.38251456,-0.79368719
27.221216,0.49297528,-0.93377032
21.551697,0.63703809,-1.0778805
17.05788,0.81286523,-1.229386
13.500898,1.0227848,-1.3647455
10.68741,1.2568853999999998,-1.4873315
8.4642315,1.5032070000000002,-1.5867753
6.7002544,1.7508875000000002,-1.6794269
5.3037996,2.0070562,-1.7704788
4.2002645,2.2453960000000004,-1.8636274000000002
3.324471,2.4765227,-1.9825662
2.6331317,2.7355376000000002,-2.1295059000000003
2.0844412,3.0203899,-2.3181550000000004
1.6499459,3.3432961,-2.5337773
1.305349,3.7314499999999997,-2.7853105
1.0334028,4.185154300000001,-3.0183606
0.8182376,4.7144258,-3.2274407000000003
0.64780265,5.247085,-3.4020686
0.51333827,5.8709116,-3.5447202000000004
0.40639266,6.520733900000001,-3.6393613
0.32150224,7.1730518000000005,-3.6651548
0.25444552,7.8867241,-3.6593423
0.20143613,8.559486300000001,-3.5900895999999998
0.15949383,9.1765244,-3.4618362000000005
0.12635216,9.7350908,-3.2922395
0.10005087,10.168948,-3.1077747000000002
