Frequency [Hz],Re(Z) [kOhm],Im(Z) [kOhm]
1000019.3,0.032434475,-0.0052516999
791679.5,0.032729973,-0.0045532594
626757.69,0.03298028200000001,-0.0039637661
496191.31,0.033153422999999994,-0.0035402169
392831.94,0.033351589,-0.0032731912
310996.03,0.033584522,-0.0030693107
246210.89,0.033791489,-0.0029896166000000003
194921.83,0.034005062,-0.0030301104
154316.38,0.034300800000000006,-0.0031304650000000002
122167.95,0.034615395,-0.0033198004
96718.727,0.034980517999999995,-0.0035358272
76572.25,0.035392508999999996,-0.0038385136
60615.219,0.035858582,-0.0041749787
47988.27,0.036379707000000004,-0.0045834064
37998.035,0.036968872,-0.0050353022
30078.119,0.037671391,-0.005526855000000001
23808.59,0.038423893,-0.0060638566000000005
18847.65,0.039261448000000004,-0.006642368300000001
14921.873,0.040178192,-0.0072094989
11816.404,0.041119919000000005,-0.0078399997
9376.8232,0.042095757,-0.0085145159
7540.0542,0.043041431000000005,-0.009171321900000001
5965.6943,0.044008179,-0.0099747229
4641.4805,0.044975571000000006,-0.011040658
3673.8215,0.045844208000000004,-0.012289441
2909.0715,0.046638313,-0.013971697000000002
2302.7881,0.047344135,-0.016152885000000002
1823.2465,0.04806179,-0.019022538999999998
1443.6169,0.048825439000000005,-0.022685692
1142.4421,0.049703308,-0.027380175000000003
904.70905,0.050700897,-0.033306549
716.14233,0.051960247,-0.04080011
566.99585,0.053534767000000004,-0.050192402000000004
448.99432,0.055615677,-0.061694321
355.34128,0.058371609,-0.076053207
281.35031,0.061934307,-0.093788246
222.79024,0.066847939,-0.11554289000000001
176.29787,0.073270088,-0.14217177
139.59779,0.08206340799999999,-0.1747359
110.53085,0.093617432,-0.21445511
87.453423,0.10954013000000001,-0.26244681000000003
69.268494,0.13081317,-0.32018475
54.842007,0.15978857,-0.38866735999999996
43.40276,0.19860023000000002,-0.47023965
34.373028,0.2507588,-0.56411353
27.221216,0.3194426,-0.6721862200000001
21.551697,0.41155432000000003,-0.7926709
17.05788,0.53008368,-0.92189905
13.500898,0.6808302,-1.0509475
10.68741,0.86183551,-1.1803428
8.4642315,1.0685183999999999,-1.2933872
6.7002544,1.2922806,-1.3768085
5.3037996,1.5182662,-1.4489182
4.2002645,1.7297151,-1.5024952
3.324471,1.9226010000000002,-1.5548966
2.6331317,2.0880269,-1.6255823
2.0844412,2.266022,-1.7423538
1.6499459,2.4463491,-1.9049578
1.305349,2.6600505,-2.1166704
1.0334028,2.8916421,-2.3963303000000002
0.8182376,3.1813479000000005,-2.720593
0.64780265,3.5128618,-3.1117161
0.51333827,3.9028352,-3.5567427
0.40639266,4.4007373,-4.0830315
0.32150224,4.9596348,-4.6888159
0.25444552,5.7225098,-5.3590591000000005
0.20143613,6.582605,-6.0759521
0.15949383,7.7046714000000005,-6.7275684
0.12635216,8.8265479,-7.159696299999999
0.10005087,9.5554805,-7.231309100000001
