ω [rad · s⁻¹],Re(Z) raw,-Im(Z) raw,Re(Z) fit,-Im(Z) fit
9070.512495276142,0.194762144,0.0267618656,0.029038655445408013,0.024980803895950386
7178.175417023392,0.196277344,0.0321215288,0.03000781467806572,0.03082873071796309
5684.454610232402,0.19792302,0.0387021904,0.031212006434800696,0.03802035122646381
4499.654965705355,0.200063292,0.046849312,0.032718326265257794,0.04690400145312742
3562.5399939518006,0.202433412,0.05678248,0.03460244818970879,0.05784716590602209
2821.1145144310894,0.205428268,0.068888572,0.036966054731693884,0.07132322551489986
2232.675109530387,0.209065308,0.083691908,0.03995233016825126,0.0879720934553174
1767.7761339624217,0.213377748,0.10212156,0.04372446256225949,0.10844262898906788
1399.8323625510138,0.218827316,0.12434056800000001,0.048518143255656704,0.13363128559906848
1107.7121864710566,0.22527865600000002,0.151505632,0.05466663178775154,0.164720457500358
877.1187830427414,0.233561296,0.184828476,0.0625568276730447,0.20284379365087873
694.4858127100707,0.243595688,0.22523014800000002,0.07277929777266963,0.24967360339866265
549.4860624561613,0.256488068,0.274533172,0.08616451278089989,0.3072994812402714
435.22678375125736,0.273041016,0.334533568,0.10368604872415416,0.3775247133149565
344.58249259864004,0.293634828,0.40779112,0.12693710454165077,0.4634113326640108
272.70758392304185,0.320315276,0.49669452000000003,0.1580267213708521,0.568118752510531
215.97210449287252,0.355638032,0.60349156,0.19965483229959563,0.6945677361710157
171.03594441476184,0.40244276,0.7330051999999999,0.25579605143955486,0.8467134543344124
135.41330593518637,0.46349428000000004,0.8885670800000001,0.3317609351458003,1.0283810135716223
107.17782098763253,0.546068,1.0724895200000002,0.4344570167030105,1.2427785532129687
84.82864394733026,0.6559768,1.28915016,0.57230961540031,1.4914378798125907
67.15097748380418,0.80038288,1.5421828800000001,0.7549933243001787,1.773439447434501
53.18233499736663,0.98586644,1.83742712,0.99211160983851,2.084024918831017
42.098940000445374,1.22994776,2.1600166,1.2928957755113684,2.4159332641287476
33.324755718944964,1.53788048,2.52627296,1.660527090232541,2.756298363488817
26.39104019266801,1.9192688,2.9161711599999998,2.090225145776996,3.091134609092395
20.888267341344626,2.37987084,3.30193408,2.5715687010460235,3.4122051369497974
16.544454409308806,2.91731468,3.68573656,3.08350395408198,3.7169040667396325
13.096930321519785,3.4911342800000003,3.98396412,3.6093925365763355,4.017786081991159
10.3669158365212,4.086254,4.3027624,4.1341289024562125,4.336343351034557
8.201749657541566,4.693896,4.6142364,4.653871024432051,4.702886588391212
6.493061289358244,5.235912000000001,4.925022,5.171749333565596,5.148010886115271
5.1411384661018875,5.8672968,5.4280624,5.703992422329315,5.7042252957943065
4.070264092432001,6.373533999999999,5.973452,6.274014633373785,6.402089424720883
3.2253994756769875,6.8889328,6.6628356,6.9084191697681385,7.265283301941148
2.553440390257629,7.739516,7.7298008000000005,7.648474642313314,8.326047226422748
2.020058150593325,8.656817199999999,8.990849599999999,8.538614979611758,9.607604795446825
1.5987283527416694,9.660546,10.606415199999999,9.628518675227495,11.121762638899536
1.265660532351117,11.0997352,12.4932832,10.981998216602463,12.87678537116572
1.0021292892417988,12.83037,14.8034316,12.674653935359046,14.867440962870173
0.7938940352424042,15.144094800000001,17.4570584,14.786746889068786,17.06153042467144
0.6286381563545348,17.8405704,20.0530352,17.415346114483945,19.408904951244264
