ω [rad · s⁻¹],Re(Z) raw,-Im(Z) raw,Re(Z) fit,-Im(Z) fit
9070.512495276142,0.20105299199999999,0.134290788,0.04704137719617461,0.1306740337693958
7178.175417023392,0.206418916,0.163375596,0.05257389578222914,0.1611733153182395
5684.454610232402,0.21291712799999998,0.19958406,0.05957011899143789,0.1986300020285749
4499.654965705355,0.221013656,0.24494226000000002,0.06850427893796138,0.2448198494474302
3562.5399939518006,0.231793748,0.30120584,0.07995073414800241,0.30159214799108613
2821.1145144310894,0.245509248,0.37111242800000005,0.09471096618969899,0.37130497665084333
2232.675109530387,0.263944152,0.45731064,0.11395005456498253,0.4571095464824309
1767.7761339624217,0.28835562,0.5629463600000001,0.13910873519789896,0.5620925808124253
1399.8323625510138,0.32094336,0.6930124,0.17230780124114908,0.6904338868737243
1107.7121864710566,0.365813844,0.8515224,0.2166276817366095,0.8474641729404927
877.1187830427414,0.4260854,1.04273084,0.27588765679386806,1.0377738028126307
694.4858127100707,0.5083713599999999,1.27369508,0.3558312399046218,1.2678481865904463
549.4860624561613,0.62005292,1.5508813600000002,0.4645165490629196,1.544850284794778
435.22678375125736,0.76948912,1.8778648800000002,0.611365721970052,1.872460054861745
344.58249259864004,0.97093916,2.2586945999999997,0.8105913421248869,2.2569821194830513
272.70758392304185,1.2406472000000002,2.6951017999999998,1.0791635282908487,2.6999460630480887
215.97210449287252,1.5914295600000001,3.1854165200000004,1.4348206480509778,3.195024906412918
171.03594441476184,2.04686192,3.71444484,1.8974859237281148,3.731494543949832
135.41330593518637,2.61781712,4.2768344,2.4828685990937163,4.288676073703552
107.17782098763253,3.3287827200000004,4.832676800000001,3.1963063851831484,4.8373119687618
84.82864394733026,4.1549012,5.3425108,4.026053681828347,5.3449403776469575
67.15097748380418,5.069666000000001,5.8051352,4.942701155127311,5.786999000130799
53.18233499736663,6.0269904,6.149622000000001,5.9040804269106335,6.156844305601902
42.098940000445374,7.0030524,6.5007884,6.872869550035515,6.47275064028342
33.324755718944964,7.9373768,6.8122316000000005,7.817675220051774,6.770977414066852
26.39104019266801,8.8031484,7.1319496000000004,8.726835839309382,7.099189063435073
20.888267341344626,9.624456,7.5591336,9.61509550315783,7.508295456755237
16.544454409308806,10.5446132,8.1966044,10.505746752971158,8.03907631990864
13.096930321519785,11.4411484,8.94833,11.444456969077251,8.727396953833386
10.3669158365212,12.433876,9.959466,12.47998637030055,9.59416746509537
8.201749657541566,13.635661200000001,11.1412784,13.67260905651127,10.650323977262937
6.493061289358244,15.2114296,12.574241200000001,15.079835925855685,11.88349756901181
5.1411384661018875,17.0214256,14.1059228,16.77028881841339,13.26892700503506
4.070264092432001,19.2269296,15.614044,18.810508548147613,14.756961437324806
3.2253994756769875,21.8333164,17.1097284,21.242864764495483,16.261073027062718
2.553440390257629,24.667258000000004,18.23234,24.115575356493935,17.68451345329792
2.020058150593325,28.0986524,19.2612324,27.417388575766942,18.89331954378481
1.5987283527416694,31.5407344,19.9149296,31.06661200936377,19.746258992997813
1.265660532351117,34.995336,20.341002,34.9395209545698,20.133555900418095
1.0021292892417988,38.1639336,20.4672968,38.8720744543371,19.99576038499975
0.7938940352424042,40.50983600000001,19.0172228,42.67862383072636,19.341259457384727
0.6286381563545348,44.686316,19.549208800000002,46.21657999241226,18.237973226382223
