Frequency [Hz],Re(Z) [mA/cm2],Im(Z) [mA/cm2]
26326.546437082467,-0.01261568852724927,0.03517702648057653
22682.298958918305,-0.01681978884103175,0.03917701317188972
19540.706305328513,-0.020391564313299172,0.040755386673538674
16838.93662324129,-0.025442477990497116,0.04461996783754938
14514.158059584845,-0.03145007773667987,0.04725689403982178
12503.538761287376,-0.036699470296398105,0.048979659441455596
10807.078728348888,-0.045107897834314854,0.052048481346798285
9299.114254625787,-0.050920002375180316,0.052199506977330064
7979.645340118074,-0.05956756105404828,0.05248492144912786
6911.503837897545,-0.06912153421006789,0.05241621075845259
5943.893300591889,-0.07553533629138476,0.048889450944639146
5120.796025351363,-0.08669053166030187,0.04538529344706373
4410.79608564007,-0.09379236559106525,0.04115277731666388
3801.3271108436497,-0.10115566307482718,0.03446996185336695
3273.5395450405645,-0.10858319377097521,0.026735953959181078
2821.1502029236344,-0.1108989570874563,0.015981248453486294
2431.5927138785,-0.1147348995447609,0.00655048424581856
2092.300707290802,-0.1148921287768208,-0.002715981710925338
1803.2741831605413,-0.11288481151059152,-0.013363306183858267
1551.9467708733578,-0.10819492599603753,-0.023522658042967926
1338.3184704292519,-0.1030309863305961,-0.030062525933742625
1156.1060965210438,-0.0971141844093865,-0.04265360778149901
992.7432785343747,-0.08703186726307675,-0.04507228786567466
854.5132017764238,-0.07885832747203002,-0.049557476320587567
741.4158662471912,-0.07021242855560735,-0.0526621783534022
634.6017160251382,-0.060287344574179676,-0.05340343900168074
547.89375878606,-0.055680626139639276,-0.054018776860623445
472.4955350999049,-0.044666436831389565,-0.054547071333387806
407.15040790523716,-0.03712246329962394,-0.04787396615411726
350.6017401406209,-0.029824814197738424,-0.044613117304813356
302.22121327533813,-0.0238846561362251,-0.04300105883828187
260.12387171723486,-0.01995473198288478,-0.03731417574650956
224.30971546631125,-0.016998374797905745,-0.03517772175667545
193.52210746113127,-0.013978834852213008,-0.03127836358630135
166.50441064025904,-0.011439261923321292,-0.027446973283461445
143.25662500369458,-0.009030123009043003,-0.0264190796326488
123.77875055143784,-0.008533268524309919,-0.023811473143007234
106.185831691335,-0.006814278251081828,-0.018331463486980414
91.73450548482195,-0.005185927222434419,-0.017645059489401246
67.85840131753953,-0.002964863525084863,-0.013279380800723222
50.57964172279567,-0.004571349568311726,-0.011230935920943713
