Frequency [Hz],Re(Z) [mA/cm2],Im(Z) [mA/cm2]
26326.546437082467,-0.09117305499427758,0.3059571275593924
22682.298958918305,-0.12863829418071573,0.34722754180465315
19540.706305328513,-0.16062573268193706,0.3643099664155389
16838.93662324129,-0.20461529053039992,0.400244253664051
14514.158059584845,-0.2561140344689995,0.4296365611033127
12503.538761287376,-0.30588960076124394,0.4462279894785319
10807.078728348888,-0.3830625553629615,0.48422087031015965
9299.114254625787,-0.43860601514125713,0.4834249657670673
7979.645340118074,-0.5120920570504137,0.49300554708170674
6911.503837897545,-0.5989988930490067,0.49999883577256743
5943.893300591889,-0.6619890367921876,0.4746783456624163
5120.796025351363,-0.7464086964365488,0.45031622931424725
4410.79608564007,-0.825231939526912,0.41515388672992665
3801.3271108436497,-0.8793991251578892,0.3691790130125552
3273.5395450405645,-0.9526599658489048,0.3012546708524682
2821.1502029236344,-0.98241350769622,0.22992814761741373
2431.5927138785,-1.025598797252246,0.14443748445051785
2092.300707290802,-1.037055344305133,0.06817760253809306
1803.2741831605413,-1.0335756488264531,-0.014162844754680763
1551.9467708733578,-1.0261272357533426,-0.09300231063882308
1338.3184704292519,-1.0069684300548385,-0.171266041772354
1156.1060965210438,-0.9606225553586621,-0.24186950921970088
992.7432785343747,-0.9133081084729412,-0.30846598915016016
854.5132017764238,-0.8547586717550222,-0.36020225318327487
741.4158662471912,-0.7834312979913438,-0.4017652346708046
634.6017160251382,-0.7097846843798379,-0.4379667817685001
547.89375878606,-0.6428880303590108,-0.45338537656689104
472.4955350999049,-0.5719950977098898,-0.45699915189819296
407.15040790523716,-0.4962841087842529,-0.4648760375973301
350.6017401406209,-0.429815823713879,-0.4558170895122293
302.22121327533813,-0.36133661449625726,-0.43975120980628557
260.12387171723486,-0.2998965720664147,-0.41368082307571497
224.30971546631125,-0.24926350910538664,-0.3871237293346957
193.52210746113127,-0.2031682321866016,-0.3572278853443411
166.50441064025904,-0.1717188746319096,-0.32536394315351147
143.25662500369458,-0.14049707875585413,-0.29387141953656637
123.77875055143784,-0.11343354771297959,-0.2702245103470572
106.185831691335,-0.09133366418435984,-0.2335448275644898
91.73450548482195,-0.07082387237383313,-0.20679836881784067
79.16813487046278,-0.057874870038062604,-0.18543173424294065
67.85840131753953,-0.04634633030557868,-0.159640462046403
58.68495076905734,-0.03867446614646681,-0.15125077912038978
50.57964172279567,-0.02554366065849143,-0.12731809796861865
43.54247417875453,-0.017883081250605778,-0.10829803580243642
37.51061628386213,-0.01997421754047834,-0.09971550012945163
32.358404331974874,-0.012947377690353255,-0.08493941613639942
27.834510910805566,-0.01018241066633093,-0.07320714676797155
24.00176787342602,-0.009961994436921109,-0.06975470849877614
20.67167966062084,-0.008279780196597647,-0.0634906063260491
17.844246272390023,-0.012047635380628705,-0.048596889782149516
15.33097214951819,-0.008308331998155326,-0.048320309960219035
