Frequency [Hz],Re(Z) [mA/cm2],Im(Z) [mA/cm2]
26326.546437082467,-0.0006547902688317356,0.001373384499717202
22682.298958918305,-0.000827451551250621,0.0014735687098249729
19540.706305328513,-0.0010003028996231126,0.0014884376319563197
16838.93662324129,-0.0011895913832518576,0.0016169906547739395
14514.158059584845,-0.001455088060768659,0.001584653638313713
12503.538761287376,-0.001599844871483528,0.0016307319028648279
10807.078728348888,-0.001889496607201647,0.0016473625963204287
9299.114254625787,-0.002143649508264275,0.0015409233415904517
7979.645340118074,-0.0023590105931430372,0.0014762123919597051
6911.503837897545,-0.002658328604529989,0.0013728382086328993
5943.893300591889,-0.002757666276268238,0.0010660931911564303
5120.796025351363,-0.0030954436800445665,0.0009067256900935338
4410.79608564007,-0.0032943643169008573,0.0008703193593920973
3801.3271108436497,-0.0035087105074404616,0.0002930962602528446
3273.5395450405645,-0.0033874740912813867,0.0001781528441969336
2821.1502029236344,-0.003440327024267087,-0.0001756087807408484
2431.5927138785,-0.0035414047060000025,-0.0007755157842737591
2092.300707290802,-0.003198597024647414,-0.0006063815582685878
1803.2741831605413,-0.0029592587364188497,-0.0011045920304429298
1551.9467708733578,-0.002661648950751754,-0.0012044850426894396
1338.3184704292519,-0.0024076840130801466,-0.001450103417838465
1156.1060965210438,-0.002989294319982852,-0.0015626491368382095
992.7432785343747,-0.0018843274785274285,-0.0014820422663258182
854.5132017764238,-0.0016654967201883248,-0.0015130074989232972
741.4158662471912,-0.0013775950903363707,-0.0015211864424873268
634.6017160251382,-0.001162601300490384,-0.001456067527741643
547.89375878606,-0.0008057061158452645,-0.0010612625735446914
472.4955350999049,-0.0005622309015440582,-0.0014449360199233297
407.15040790523716,-0.0007337198178472912,-0.0012947603805396855
350.6017401406209,-0.0006791143279547829,-0.0010412096239088074
